"Year","ID","Month","Treatment","Species","Age","Sex","NV","NG","NDVI","Death_date","Season","PropGV","Month_AD","MY"
"2011","10-049","03","Control","Zebra","SA","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","05","Carcass","Wildebeest","A","F",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Wildebeest","A","M",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Wildebeest","SA","F",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Wildebeest","SA","M",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Zebra","A","F",42,11,0.347558064516129,2010-02-21,"Cool_dry",0.261904761904762,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Zebra","A","M",23,5,0.347558064516129,2010-02-21,"Cool_dry",0.217391304347826,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Zebra","SA","F",5,0,0.347558064516129,2010-02-21,"Cool_dry",0,15,"2011/05-10-049"
"2011","10-049","05","Carcass","Zebra","SA","M",4,0,0.347558064516129,2010-02-21,"Cool_dry",0,15,"2011/05-10-049"
"2011","10-049","05","Control","Wildebeest","A","F",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Control","Wildebeest","A","M",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Control","Wildebeest","SA","F",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Control","Wildebeest","SA","M",0,0,0.347558064516129,2010-02-21,"Cool_dry",NA,15,"2011/05-10-049"
"2011","10-049","05","Control","Zebra","A","F",28,10,0.347558064516129,2010-02-21,"Cool_dry",0.357142857142857,15,"2011/05-10-049"
"2011","10-049","05","Control","Zebra","A","M",17,5,0.347558064516129,2010-02-21,"Cool_dry",0.294117647058824,15,"2011/05-10-049"
"2011","10-049","05","Control","Zebra","SA","F",3,2,0.347558064516129,2010-02-21,"Cool_dry",0.666666666666667,15,"2011/05-10-049"
"2011","10-049","05","Control","Zebra","SA","M",2,1,0.347558064516129,2010-02-21,"Cool_dry",0.5,15,"2011/05-10-049"
"2011","10-049","06","Carcass","Wildebeest","A","F",0,0,0.222173333333333,2010-02-21,"Cool_dry",NA,16,"2011/06-10-049"
"2011","10-049","06","Carcass","Wildebeest","A","M",0,0,0.222173333333333,2010-02-21,"Cool_dry",NA,16,"2011/06-10-049"
"2011","10-049","06","Carcass","Wildebeest","SA","F",0,0,0.222173333333333,2010-02-21,"Cool_dry",NA,16,"2011/06-10-049"
"2011","10-049","06","Carcass","Wildebeest","SA","M",0,0,0.222173333333333,2010-02-21,"Cool_dry",NA,16,"2011/06-10-049"
"2011","10-049","06","Carcass","Zebra","A","F",27,5,0.222173333333333,2010-02-21,"Cool_dry",0.185185185185185,16,"2011/06-10-049"
